"id","first_blood_time","radiant_gold_advantage","radiant_experience_advantage","radiant_win","min_radiant_gold_advantage","max_radiant_gold_advantage","mean_radiant_gold_advantage","std_dev_radiant_gold_advantage","final_radiant_gold_advantage","min_radiant_experience_advantage","max_radiant_experience_advantage","mean_radiant_experience_advantage","std_dev_radiant_experience_advantage","final_radiant_experience_advantage"
7987611141,101,"{0,-124,424,267,-222,-366,-256,-342,-1022,-785,-623,404,-120,-261,339,107,-705,2978,4126,4956,4317,4661,4452,4226,3743,4439,5069,5222,6701,8309,6988,6060,6554,10358,14264,14404}","{0,-155,455,292,-92,-161,-575,-361,-2136,-1243,-1337,-584,-1521,-2379,-1962,-2475,-3005,2050,2853,4348,4394,5607,6055,5536,7474,8605,9345,9211,11426,14344,6776,5009,5080,14311,16451,17835}",true,-1022,14404,3292.83333,4045.10548,14404,-3005,17835,3874.19444,5709.91219,17835
7987611019,75,"{0,-93,224,-291,-566,-579,-1655,-2579,-4186,-2597,-3286,-4048,-5802,-8039,-9239,-10094,-9343,-9286,-10425,-13704,-13816,-17779,-20847,-25896,-28487}","{0,155,217,-287,-368,-229,-861,-1421,-3386,-1549,-1688,-1894,-2378,-3622,-6191,-6569,-5776,-6915,-8845,-12627,-12460,-19382,-18704,-18345,-23329}",false,-28487,224,-8096.52000,8005.05348,-28487,-23329,217,-6258.16000,6999.80484,-23329
7987610895,1,"{0,-1644,-2366,-3718,-2684,-2076,-4010,-4132,-1792,-2884,-6214,-8060,-6002,-2326,326,6132,4502,4156,4436,9134,12574,7648,6372,12624,16542}","{0,-327,-575,-2129,-295,-246,-2747,-4694,-4152,-8292,-10854,-15803,-10332,4167,13034,25823,33831,24885,25672,36607,48315,36975,28590,50872,53363}",true,-8060,16542,1461.52000,6445.12140,16542,-15803,53363,12867.52000,21002.00907,53363
7987610603,0,"{-1072,-2020,-2146,-2582,-2693,-3301,-4344,-4475,-5582,-5596,-5020,-6757,-4447,-7554,-9002,-10323,-9035,-10314,-12048,-13222,-13901,-14467,-13857,-17671,-21209,-25858,-27897}","{-208,-348,-566,-242,-677,-1516,-3033,-2938,-2756,-2205,-1060,-2950,-782,-4359,-5418,-6292,-6342,-6947,-8847,-8458,-10800,-12562,-8656,-18550,-25527,-26724,-30386}",false,-27897,-1072,-9496.03704,7066.08462,-27897,-30386,-208,-7375.88889,8353.17746,-30386
7987610261,97,"{100,536,857,1076,452,226,282,816,1277,1415,2274,13,631,1153,1196,2700,4501,2970,2777,5703,7216,9579}","{69,65,573,709,270,128,42,692,2281,2464,3425,757,2164,3313,2367,4261,7446,5688,6924,11555,13815,16769}",true,13,9579,2170.45455,2448.99792,9579,42,16769,3898.95455,4628.34418,16769
7987610219,3,"{0,45,241,24,1406,1830,2131,2797,1929,2471,4035,3860,6041,6805,6900,7468,7550,7211,8937,9286,10104,10240,11701,13007,14059,19448}","{0,17,342,408,1168,1457,1574,1300,1207,2174,4275,3765,5175,5495,5580,8515,8590,8533,11263,12209,14108,13558,14455,10083,12354,15841}",true,0,19448,6135.61538,4923.16300,19448,0,15841,6286.38462,5185.95616,15841
7987610202,22,"{0,-1784,-1830,-3444,-2894,-2708,-5190,-7098,-7118,-11683,-13148,-13788,-16226,-19098,-14658,-14724,-18432,-15316,-16198,-19694,-24576,-25776,-17472,-19452,-22674,-26086,-27698,-27146,-28324,-29878,-38954}","{0,-290,-633,-2926,-3227,-1214,-4324,-8775,-7479,-11720,-11826,-9242,-13638,-16410,-10974,-10084,-20010,-12371,-12743,-20167,-41831,-48347,-5387,-11282,-7826,-9050,-8073,-9615,-9959,-20811,-28972}",false,-38954,0,-15905.38710,9782.17109,-38954,-48347,0,-12232.45161,10795.01402,-28972
7987610033,0,"{348,1393,1482,1878,2100,1937,1760,1634,1029,1709,2396,2196,1404,1124,728,2747,3193,2566,3021,1346,1583,3499,4184,2757,2482,5016,7144,4427,2649,4692,7441,11454,15590}","{100,198,190,393,903,572,525,1512,1356,2293,2337,2359,1195,2009,912,1826,3429,2730,2920,3050,3260,6335,7047,4891,6494,12097,14688,8975,8188,9899,9428,15517,18189}",true,348,15590,3300.27273,3095.99050,15590,100,18189,4721.72727,4823.20404,18189
7987609510,62,"{0,498,1982,2326,1790,2040,4044,2324,-650,-18,2610,3700,4892,5810,3960,-2846,-2398,-7934,-8810,-14852,-16846,-11336,-9646,-12870}","{0,321,1226,562,-447,-401,1451,1413,-2811,-1877,-386,1168,-2586,-3770,-9567,-18737,-10517,-20423,-25158,-32311,-15960,3679,6905,1819}",false,-16846,5810,-2176.25000,6662.41721,-12870,-32311,6905,-5266.95833,9876.15287,1819
7987609313,158,"{0,36,161,145,3,236,1132,748,86,146,1543,2650,3980,5255,7009,6533,5772,8210,12069,12557,16045,20202}","{0,88,-64,-41,-403,-90,1121,730,1339,2059,3266,3973,5503,6148,7253,7461,5342,9537,14068,13104,18841,21433}",true,0,20202,4750.81818,5719.64096,20202,-403,21433,5484.90909,6224.69216,21433
